"","","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)"
"",""," 2019"," 2019"," 2019"," 2019"," 2019"," 2019"," 2019"," 2019"
"Countries, territories and areas","Sex"," 85+ years of age"," 75-84 years"," 65-74 years"," 55-64 years"," 45-54 years"," 35-44 years of age"," 25-34 years of age"," 15-24 years of age"
"Afghanistan"," Both sexes","24.5","8.5","10.7","9.8","9.6","8.7","7.6","4.7"
"Afghanistan"," Male","28.6","9.3","7.7","7.1","8.1","10.5","9.2","6.1"
"Afghanistan"," Female","21.5","7.7","13.4","12.6","11.1","6.7","5.8","3.3"
"Albania"," Both sexes","22.8","9.9","3.5","4.7","6.2","4.9","2.7","4.7"
"Albania"," Male","26","11.1","5.2","7.9","10.8","8.4","3.7","4.6"
"Albania"," Female","20.5","8.8","1.9","1.6","1.9","1.2","1.6","4.8"
"Algeria"," Both sexes","8.3","4.4","2.8","2.3","2.7","3.9","4.1","3.3"
"Algeria"," Male","10.8","5.9","3.7","3.3","3.5","4.8","5.2","4"
"Algeria"," Female","6.1","3","1.8","1.4","1.9","3","3","2.6"
"Angola"," Both sexes","165.1","63.5","47.4","32.1","20.5","8.4","5.8","3.7"
"Angola"," Male","341.3","123.4","80.4","52.4","34.2","14.4","10","6.1"
"Angola"," Female","60.1","23.5","18.7","12.8","7.7","2.7","1.8","1.3"
"Antigua and Barbuda"," Both sexes","0","0","0","3.7","0","0","0","0"
"Antigua and Barbuda"," Male","0","0","0","0","0","0","0","0"
"Antigua and Barbuda"," Female","0","0","0","6.9","0","0","0","0"
"Argentina"," Both sexes","15.8","13.9","11","10.5","9.6","9.6","11.1","11.8"
"Argentina"," Male","45.2","31","21.2","18","15.8","15.8","18.2","17.2"
"Argentina"," Female","3.7","3.2","2.9","3.8","3.9","3.6","4.1","6.2"
"Armenia"," Both sexes","27.9","13.7","6.6","4.9","4.5","3.2","1.4","1.3"
"Armenia"," Male","69.6","33.6","13.6","9.3","8.5","6.4","1.7","1.6"
"Armenia"," Female","5.4","2.1","1.8","1.5","1.3","0.6","1.2","1"
"Australia"," Both sexes","16","14.5","11.4","16.2","18.8","17.2","14.4","11.8"
"Australia"," Male","27.2","20.9","17.1","24.8","27.7","26.3","22.2","17.6"
"Australia"," Female","9","8.8","5.9","7.8","10.2","8.1","6.4","5.7"
"Austria"," Both sexes","34.3","33","18.1","17.2","19.7","14.1","9.6","7.8"
"Austria"," Male","84.4","61.9","30.7","25.6","27.6","20.5","16.2","12.5"
"Austria"," Female","9.8","11.4","7","9","11.7","7.6","2.7","2.7"
"Azerbaijan"," Both sexes","24","10.4","6.8","5.7","5.3","5.4","4.9","4"
"Azerbaijan"," Male","38.3","15.2","10.9","9.5","9.1","9.4","8.4","6.4"
"Azerbaijan"," Female","16.9","7.4","3.6","2.3","1.7","1.5","1.4","1.3"
"Bahamas"," Both sexes","11.3","6","4.8","4.2","4.2","4.9","5.6","3.3"
"Bahamas"," Male","24.9","12.7","9.3","7.8","7.4","8.4","8.6","5.2"
"Bahamas"," Female","2.2","1.3","1.1","1.1","1.3","1.7","2.6","1.5"
"Bahrain"," Both sexes","30.1","11.8","5.3","5.4","8.5","12.1","13.2","8.6"
"Bahrain"," Male","43.7","17.4","7.7","8.2","12.3","16","16.3","13.1"
"Bahrain"," Female","18.6","6.6","2.1","1.2","1.2","2.7","5.1","2.7"
"Bangladesh"," Both sexes","19.5","10.3","6.4","4.9","5.2","4.3","4.4","4.3"
"Bangladesh"," Male","37.6","17.8","10.2","7.9","8.3","6.7","7.2","5.6"
"Bangladesh"," Female","5.1","3.1","2.2","1.6","2.1","1.8","1.7","2.9"
"Barbados"," Both sexes","0","3.4","0","0","0.7","0.3","0","0"
"Barbados"," Male","0","0","0","0","1.5","0.7","0","0"
"Barbados"," Female","0","5.9","0","0","0","0","0","0"
"Belarus"," Both sexes","59.6","36.1","30.9","30.3","31.3","25.6","17.8","7.9"
